"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "yellowCard" "totalThrows" "totalTackle" "fouls" "wasFouled" "lostCorners" "totalClearance" "ontargetScoringAtt" "totalScoringAtt" "shotOffTarget" "wonCorners" "blockedScoringAtt" "totalSubOff" "cornerTaken" "goals" "stats[2, ]" "totalSubOn" "local" "id_partido" "ownGoals" "totalOffside" "goalAssist" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "redCard" "cleanSheet" "secondYellow" "penaltySave"
NA NA NA NA NA NA NA NA "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "9ovohr9c65nhr4dabm32t7pbd" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "3xmv3bvtkh8pccvlty2z20dii" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "18u94wuu2q3k4donaf5dxhmg9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA NA NA NA NA NA NA NA
"5" "1" NA NA "5" NA "11" "0" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "arno836luk92dc3iaqaxnrvca" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "1" NA NA NA NA NA "1" TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA "1" NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "ec9fl6fj4s7u0hwdgexrch97t" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA NA NA NA NA NA NA NA
"20" "4" "4" "10" "22" "1" "82" "1" "2019-05-25Z" "feancmz08pxur7cxp179ylw0" "South Africa U20" "1f7s8jeamxzrrvw6k01tpfwtl" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA NA NA NA FALSE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA "1" "1" NA NA NA NA NA NA
"18" "5" NA NA "29" "1" "90" "3" "2019-05-25Z" "feancmz08pxur7cxp179ylw0" "South Africa U20" "2ojbw91gdf3rdtjsk6n7e92w9" "Defender" "1" NA "6" "2" NA "1" NA "8" NA NA NA "1" NA NA NA NA NA NA FALSE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA "1" NA NA NA NA NA NA
"22" "5" NA NA "32" "1" "90" "6" "2019-05-25Z" "feancmz08pxur7cxp179ylw0" "South Africa U20" "bbodbognh86hnk5qb1pb6qlpm" "Defender" "3" NA "1" "3" NA NA "4" "5" NA NA NA NA NA NA NA NA NA NA FALSE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA "1" NA NA NA NA NA NA
"26" "5" NA NA "40" "1" "90" "5" "2019-05-25Z" "feancmz08pxur7cxp179ylw0" "South Africa U20" "drngboj3lyhzv8vtmaeey5ega" "Defender" NA NA "1" NA "1" "1" "2" "5" NA NA NA NA NA NA NA NA NA NA FALSE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA "1" "1" NA NA NA NA NA
"3" "2" NA NA "3" "1" "66" "2" "2019-05-25Z" "feancmz08pxur7cxp179ylw0" "South Africa U20" "dbtivciivxje9r5wngsgrhoq2" "Defender" NA NA "6" "1" "3" NA NA "5" "1" "2" "1" NA NA NA NA "1" NA NA FALSE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA "1" NA NA "1" NA NA NA
