"accuratePass" "penaltyConceded" "goalsConceded" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "penGoalsConceded" "minsPlayed" "fouls" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wonCorners" "yellowCard" "totalScoringAtt" "shotOffTarget" "wasFouled" "lostCorners" "totalOffside" "totalSubOff" "cornerTaken" "ontargetScoringAtt" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "redCard" "local" "id_partido" "saves" "cleanSheet" "goals" "penaltyWon" "goalAssist" "secondYellow" "penaltySave" "ownGoals"
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "f16knu2zvp58b4yqyf0xu76x" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"10" NA NA NA NA "14" NA NA "15" NA "1" "0" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "bwq89z2cncu4pscz9xs3a6kt1" "Substitute" "1" NA "1" NA NA "1" "1" "1" NA NA NA "1" NA NA NA "1" NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "ylg7f0bd2n8onhe8el8k3209" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "7ltqixhgg5za5bcuzg6vqbo45" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "9z6mjhgvvqg7sviq7efst2x2h" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "c5tcmq68njyhc1guy7dg7vutx" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"5" NA "1" "1" "12" "20" "1" "1" "90" NA NA "1" "2017-05-24Z" "9dnph0msa5xipz3vz8tgoeq0x" "Portugal U20" "d79vlrccz170hzdh35nhsf1ed" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "xgm9uzzhpov2ejxtwhzls3c9" "2" NA NA NA NA NA NA NA
"19" NA "1" NA NA "26" "1" "1" "90" "3" "4" "3" "2017-05-24Z" "9dnph0msa5xipz3vz8tgoeq0x" "Portugal U20" "e5p0oz8nz3fvawtta6u98ow5x" "Defender" "1" "16" "2" NA NA NA NA "2" NA NA NA NA NA NA NA NA NA FALSE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"18" NA "1" NA NA "32" "1" "1" "90" NA "7" "6" "2017-05-24Z" "9dnph0msa5xipz3vz8tgoeq0x" "Portugal U20" "cypipec6wd6cpgcspxjwvdadx" "Defender" NA NA "1" NA NA "1" "1" "1" "1" NA NA NA NA NA NA NA NA FALSE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"18" NA "1" NA NA "22" "1" "1" "71" "2" "6" "5" "2017-05-24Z" "9dnph0msa5xipz3vz8tgoeq0x" "Portugal U20" "2t5s4f41jefzuzth0bhcixtcl" "Defender" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" FALSE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA "1" NA NA
