"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "lostCorners" "totalScoringAtt" "totalThrows" "totalTackle" "shotOffTarget" "fouls" "wasFouled" "ontargetScoringAtt" "goals" "totalSubOff" "wonCorners" "yellowCard" "cornerTaken" "totalSubOn" "stats[2, ]" "local" "id_partido" "blockedScoringAtt" "totalOffside" "goalAssist" "cleanSheet" "ownGoals" "redCard" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "penaltySave" "secondYellow"
NA NA NA NA NA NA NA NA NA "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "ue21v40lpfq648asxkvmvfje" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
"8" NA NA NA "8" NA "16" NA "0" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "nl4z5xwpj7p65ieckie8dfqh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
"9" "3" "3" "6" "18" "1" "90" NA "1" "2017-10-18Z" "4jn3ho488kzajzwbjc41069ea" "Honduras U17" "5b7hsj148fgloasivgo8x5w16" "Goalkeeper" NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
"8" "3" NA NA "11" "1" "90" NA "3" "2017-10-18Z" "4jn3ho488kzajzwbjc41069ea" "Honduras U17" "9ivhry8u24e5hb17fzgze2ep5" "Defender" NA NA "1" "8" NA "1" "1" "1" NA NA NA NA "1" NA NA NA FALSE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
"15" "3" NA NA "19" "1" "90" "2" "6" "2017-10-18Z" "4jn3ho488kzajzwbjc41069ea" "Honduras U17" "cpt16ivkbgj02871squ8009nt" "Defender" "1" NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA FALSE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
"12" "3" NA NA "13" "1" "90" "4" "5" "2017-10-18Z" "4jn3ho488kzajzwbjc41069ea" "Honduras U17" "6u4tf2cxgrpubr4fxb4v7bu95" "Defender" "1" NA NA NA "2" NA NA NA NA NA NA NA NA NA NA NA FALSE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
"20" "3" NA NA "26" "1" "90" "1" "2" "2017-10-18Z" "4jn3ho488kzajzwbjc41069ea" "Honduras U17" "ayykpwy6k0552uvf3iw6ae4mh" "Defender" "2" NA "1" "10" "3" NA NA "2" NA NA NA "1" NA NA NA NA FALSE "12982n4mfgfxgyd29qdxz5roq" "1" NA NA NA NA NA NA NA NA NA NA NA
"8" "2" NA NA "13" "1" "45" "1" "4" "2017-10-18Z" "4jn3ho488kzajzwbjc41069ea" "Honduras U17" "5hhrc04j5f6mj53fus6mcezu1" "Defensive Midfielder" "1" NA NA "1" "1" NA "3" NA NA NA "1" NA NA NA NA NA FALSE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
"21" "3" NA NA "21" "1" "88" "1" "8" "2017-10-18Z" "4jn3ho488kzajzwbjc41069ea" "Honduras U17" "advwq8bx5d9p12le100b80uzt" "Defensive Midfielder" "2" NA "2" NA "2" "1" "1" "1" NA NA "1" NA NA NA NA NA FALSE "12982n4mfgfxgyd29qdxz5roq" "1" NA NA NA NA NA NA NA NA NA NA NA
"13" "3" NA NA "15" "1" "90" NA "11" "2017-10-18Z" "4jn3ho488kzajzwbjc41069ea" "Honduras U17" "8393bwgqcn4k2tjc4x7vre9yh" "Attacking Midfielder" NA NA "1" "1" NA "1" "1" "2" NA NA NA NA NA NA NA NA FALSE "12982n4mfgfxgyd29qdxz5roq" NA "1" NA NA NA NA NA NA NA NA NA NA
"42" "3" NA NA "46" "1" "90" NA "10" "2017-10-18Z" "4jn3ho488kzajzwbjc41069ea" "Honduras U17" "1w8l89e83hllxy02yvg163js9" "Attacking Midfielder" "1" "1" "2" NA "3" "1" "1" "1" NA NA NA NA NA NA NA NA FALSE "12982n4mfgfxgyd29qdxz5roq" "1" NA NA NA NA NA NA NA NA NA NA NA
